Question,Answer,Guessed_Word,Result Label
enormously,tremendously,tremendously,Correct
provisions,stipulations,stipulations,Correct
haphazardly,randomly,randomly,Correct
prominent,conspicuous,conspicuous,Correct
zenith,pinnacle,pinnacle,Correct
flawed,imperfect,imperfect,Correct
urgently,desperately,desperately,Correct
consumed,eaten,eaten,Correct
advent,coming,coming,Correct
concisely,succinctly,succinctly,Correct
salutes,greetings,ceremonies,Wrong
solitary,alone,restless,Wrong
hasten,accelerate,accelerate,Correct
perseverance,endurance,generosity,Wrong
fanciful,imaginative,imaginative,Correct
showed,demonstrated,demonstrated,Correct
constantly,continually,continually,Correct
issues,subjects,subjects,Correct
furnish,supply,impress,Wrong
costly,expensive,expensive,Correct
recognized,acknowledged,acknowledged,Correct
spot,location,location,Correct
make,earn,earn,Correct
often,frequently,frequently,Correct
easygoing,relaxed,relaxed,Correct
debate,argument,argument,Correct
narrow,thin,thin,Correct
arranged,planned,planned,Correct
infinite,limitless,limitless,Correct
showy,striking,prickly,Wrong
levied,imposed,imposed,Correct
deftly,skillfully,skillfully,Correct
distribute,circulate,commercialize,Wrong
discrepancies,differences,differences,Correct
prolific,productive,productive,Correct
unmatched,unequaled,unequaled,Correct
peculiarly,uniquely,uniquely,Correct
hue,color,color,Correct
hind,rear,rear,Correct
highlight,accentuate,accentuate,Correct
hastily,hurriedly,hurriedly,Correct
temperate,mild,mild,Correct
grin,smile,smile,Correct
verbally,orally,orally,Correct
physician,doctor,doctor,Correct
essentially,basically,basically,Correct
keen,sharp,useful,Wrong
situated,positioned,positioned,Correct
principal,major,major,Correct
slowly,gradually,gradually,Correct
built,constructed,constructed,Correct
tasks,jobs,jobs,Correct
unlikely,improbable,improbable,Correct
halfheartedly,apathetically,apathetically,Correct
annals,chronicles,chronicles,Correct
wildly,furiously,furiously,Correct
hailed,acclaimed,remembered,Wrong
command,mastery,mastery,Correct
concocted,devised,devised,Correct
prospective,potential,potential,Correct
generally,broadly,broadly,Correct
sustained,prolonged,prolonged,Correct
perilous,dangerous,dangerous,Correct
tranquillity,peacefulness,Guess,Guess
dissipate,disperse,disperse,Correct
primarily,chiefly,chiefly,Correct
colloquial,conversational,conversational,Correct
resolved,settled,settled,Correct
feasible,possible,possible,Correct
expeditiously,rapidly,rapidly,Correct
percentage,proportion,proportion,Correct
terminated,ended,postponed,Wrong
uniform,alike,alike,Correct
figure,solve,solve,Correct
sufficient,enough,enough,Correct
fashion,manner,manner,Correct
marketed,sold,sold,Correct
bigger,larger,larger,Correct
roots,origins,origins,Correct
normally,ordinarily,ordinarily,Correct
