Question,Answer,Guessed_Word,Result Label
enormously,tremendously,tremendously,Correct
provisions,stipulations,interrelations,Wrong
haphazardly,randomly,densely,Wrong
prominent,conspicuous,battered,Wrong
zenith,pinnacle,pinnacle,Correct
flawed,imperfect,imperfect,Correct
urgently,desperately,desperately,Correct
consumed,eaten,eaten,Correct
advent,coming,coming,Correct
concisely,succinctly,succinctly,Correct
salutes,greetings,ceremonies,Wrong
solitary,alone,restless,Wrong
hasten,accelerate,accelerate,Correct
perseverance,endurance,endurance,Correct
fanciful,imaginative,imaginative,Correct
showed,demonstrated,repeated,Wrong
constantly,continually,instantly,Wrong
issues,subjects,benefits,Wrong
furnish,supply,advise,Wrong
costly,expensive,expensive,Correct
recognized,acknowledged,acknowledged,Correct
spot,location,location,Correct
make,earn,trade,Wrong
often,frequently,hardly,Wrong
easygoing,relaxed,relaxed,Correct
debate,argument,election,Wrong
narrow,thin,clear,Wrong
arranged,planned,planned,Correct
infinite,limitless,relative,Wrong
showy,striking,prickly,Wrong
levied,imposed,imposed,Correct
deftly,skillfully,occasionally,Wrong
distribute,circulate,commercialize,Wrong
discrepancies,differences,deposits,Wrong
prolific,productive,promising,Wrong
unmatched,unequaled,unrecognized,Wrong
peculiarly,uniquely,Guess,Guess
hue,color,color,Correct
hind,rear,rear,Correct
highlight,accentuate,alter,Wrong
hastily,hurriedly,hurriedly,Correct
temperate,mild,mild,Correct
grin,smile,smile,Correct
verbally,orally,overtly,Wrong
physician,doctor,nurse,Wrong
essentially,basically,basically,Correct
keen,sharp,sharp,Correct
situated,positioned,positioned,Correct
principal,major,major,Correct
slowly,gradually,gradually,Correct
built,constructed,organized,Wrong
tasks,jobs,materials,Wrong
unlikely,improbable,improbable,Correct
halfheartedly,apathetically,Guess,Guess
annals,chronicles,trails,Wrong
wildly,furiously,furiously,Correct
hailed,acclaimed,addressed,Wrong
command,mastery,observation,Wrong
concocted,devised,devised,Correct
prospective,potential,prominent,Wrong
generally,broadly,controversially,Wrong
sustained,prolonged,prolonged,Correct
perilous,dangerous,binding,Wrong
tranquillity,peacefulness,peacefulness,Correct
dissipate,disperse,disperse,Correct
primarily,chiefly,chiefly,Correct
colloquial,conversational,conversational,Correct
resolved,settled,settled,Correct
feasible,possible,permitted,Wrong
expeditiously,rapidly,repeatedly,Wrong
percentage,proportion,profit,Wrong
terminated,ended,evaluated,Wrong
uniform,alike,hard,Wrong
figure,solve,list,Wrong
sufficient,enough,valuable,Wrong
fashion,manner,craze,Wrong
marketed,sold,diluted,Wrong
bigger,larger,steadier,Wrong
roots,origins,origins,Correct
normally,ordinarily,ordinarily,Correct
